"Sitemap","Sitemap"
"OK, but not change within last 24h","OK, but not change within last 24h"
"OK","OK"
"Sitemap file not found","Sitemap file not found"
"No Sitemap available or found.","No Sitemap available or found."
"Product Types","Product Types"
"ID","ID"
"Filename","Filename"
"Path","Path"
"Status","Status"
"Execute Check","Execute Check"
"No information available","No information available"
"Shop Configuration","Shop Configuration"
"Configuration Parameter","Configuration Parameter"
"Configuration Path","Configuration Path"
"Configuration Value","Configuration Value"
"Configuration Recommendation","Configuration Recommendation"
"Logfile Size", "Logfile Size"
"Service","Service"
"Status", "Status"
"Webserver", "Webserver"
"Maximum execution time (PHP)", "Maximum execution time (PHP)"
"Memory Limit", "Memory Limit"
".htaccess", ".htaccess"
".htaccess exists", ".htaccess exists"
".htaccess does not exist", ".htaccess does not exist"
"Admin-URL", "Admin-URL"
"Shop-Status","Shop-Status"
"Media Dir Size", "Media Dir Size"
"Size", "Size"
"Number Files", "Number Files"
"Number Directories", "Directories"
